,country,year,GDP,total,men,women
0,Aruba,2009,2498932960,13,13,13
1,Andorra,2008,3712034266,11,11,12
2,Afghanistan,2004,5285461999,8,11,5
3,Albania,2004,7464446950,11,11,11
4,United Arab Emirates,2003,124346361618,11,11,12
5,Argentina,2007,329761480066,16,15,17
6,Armenia,2009,8647936747,12,12,13
7,Antigua and Barbuda,2000,783837838,14,12,16
8,Australia,2008,1055031652298,21,20,21
9,Austria,2008,427627368047,15,15,15
10,Azerbaijan,2008,48852482960,13,13,13
11,Burundi,2006,1273180655,10,8,7
12,Belgium,2008,520109349524,16,16,16
13,Benin,2001,2499269391,9,10,6
14,Burkina Faso,2009,8348157993,6,7,6
15,Bangladesh,2007,79611888213,8,8,8
16,Bulgaria,2008,53316401914,14,13,14
17,Bahrain,2006,18505545360,14,14,15
18,Bosnia and Herzegovina,2009,17264893103,14,13,14
19,Belarus,2007,45275711995,15,14,15
20,Belize,2009,1336957250,12,12,13
21,Bermuda,2006,5414299000,12,12,12
22,Brazil,2008,1653508561457,14,14,14
23,Brunei Darussalam,2009,10732366286,14,14,14
24,Bhutan,2008,1258193518,11,11,11
25,Botswana,2006,10126990496,12,12,12
26,Central African Republic,2009,1981728179,7,8,5
27,Canada,2002,752531702032,16,16,16
28,Switzerland,2008,551552055046,15,16,15
29,Chile,2008,179857806671,15,15,15
30,China,2008,4521827271025,11,11,12
31,Cameroon,2009,23381142604,10,11,9
32,Colombia,2009,233821670544,14,13,14
33,Comoros,2004,368143110,11,12,10
34,Costa Rica,2005,19964893807,12,12,12
35,Cuba,2009,62078610000,18,16,19
36,Cyprus,2008,25321517504,14,14,14
37,Czech Republic,2008,235205271893,15,15,16
38,Djibouti,2007,847918929,5,5,4
39,Dominica,2008,468888888,15,14,15
40,Denmark,2008,352589421253,17,16,18
41,Dominican Republic,2004,22163928096,12,11,13
42,Algeria,2005,103198650297,13,13,13
43,Ecuador,2008,61762635000,14,14,14
44,Eritrea,2009,1856695550,5,6,4
45,Spain,2008,1635049580162,16,16,17
46,Estonia,2008,24185794095,16,15,17
47,Ethiopia,2008,27066912635,9,9,8
48,Finland,2008,283753003898,17,16,18
49,Fiji,2005,3006725014,13,13,13
50,France,2008,2923573946917,16,16,16
51,Gabon,1999,4662991794,13,13,12
52,Georgia,2008,12799337247,13,13,13
53,Ghana,2007,24757553101,10,10,9
54,Guinea,2008,4515824643,9,10,7
55,Guinea-Bissau,2000,370173851,9,7,5
56,Equatorial Guinea,2000,1045998534,8,9,7
57,Greece,2007,318668286256,16,16,17
58,Grenada,2009,771278097,16,16,17
59,Guatemala,2007,34113093453,11,11,10
60,Guyana,2009,2025565089,12,12,12
61,Croatia,2008,70461454280,14,13,14
62,Hungary,2008,156578897625,15,15,16
63,Indonesia,2008,510244548959,13,13,13
64,India,2007,1238700195645,10,11,10
65,Ireland,2008,273732372421,18,18,18
66,Iraq,2004,36627901762,10,11,8
67,Iceland,2008,17599245765,18,17,20
68,Israel,2008,213920568561,15,15,16
69,Italy,2008,2391963512218,16,16,17
70,Jamaica,2008,13676837630,14,13,14
71,Jordan,2008,21971835282,13,13,13
72,Japan,2008,4849184924937,15,15,15
73,Kazakhstan,2010,148047348240,15,15,16
74,Kenya,2009,37021512048,11,11,11
75,Cambodia,2007,8639164917,10,10,9
76,Kiribati,2008,135044455,12,12,12
77,Kuwait,2009,105911338608,13,12,14
78,Lebanon,2009,35139635157,14,13,14
79,Liberia,2000,529064646,11,13,9
80,Liechtenstein,2008,4929414914,12,13,12
81,Lesotho,2006,1428852974,10,10,10
82,Lithuania,2008,47438363056,16,15,17
83,Luxembourg,2006,41779066643,13,13,13
84,Latvia,2008,33669367720,15,14,17
85,Morocco,2005,59523857868,10,11,9
86,Monaco,2001,2671401082,18,17,18
87,Madagascar,2006,5515884434,10,10,9
88,Maldives,2006,1303375806,12,13,12
89,Mexico,2008,1099073123654,14,14,14
90,Mali,2009,8964480570,8,9,7
91,Malta,2008,8554293727,14,14,15
92,Mongolia,2009,4583834427,14,13,15
93,Mozambique,2005,6578515330,8,9,7
94,Mauritania,2006,2699181754,8,8,8
95,Mauritius,2008,9641077098,14,13,14
96,Malawi,2007,3647817218,9,9,9
97,Malaysia,2007,193552511883,12,12,13
98,Namibia,2008,8486515516,12,12,12
99,Niger,2009,5397121962,5,5,4
100,Nigeria,2005,112248324602,9,10,8
101,Nicaragua,2003,5322437645,11,11,11
102,Netherlands,2008,931327892379,17,17,17
103,Norway,2008,453885460992,17,17,18
104,Nepal,2002,6050875806,9,10,8
105,New Zealand,2008,130459339598,19,19,20
106,Oman,2008,60905332090,11,11,11
107,Pakistan,2009,167874973609,7,8,6
108,Panama,2008,24884000000,13,13,14
109,Peru,2006,87985689388,13,13,14
110,Philippines,2008,173602533344,12,12,12
111,Palau,2000,159855700,15,14,15
112,Poland,2008,530185123692,15,15,16
113,Portugal,2008,262017296166,16,16,16
114,Paraguay,2007,13794909537,12,12,12
115,Qatar,2009,97798348829,12,11,14
116,Romania,2008,204338605783,15,14,15
117,Russian Federation,2008,1660844408499,14,14,15
118,Rwanda,2009,5308990208,11,11,11
119,Saudi Arabia,2008,519796800000,14,14,13
120,Senegal,2008,13386346542,7,8,7
121,Solomon Islands,2006,456735444,9,9,9
122,Sierra Leone,2001,1079478387,7,9,6
123,El Salvador,2008,21431000000,12,12,12
124,Serbia,2009,42616653299,14,13,14
125,Sao Tome and Principe,2010,201037916,11,11,11
126,Suriname,2002,1078402127,12,11,13
127,Slovenia,2008,55589849128,17,16,18
128,Sweden,2008,513965715632,16,15,16
129,Swaziland,2006,2947943587,10,11,10
130,Seychelles,2008,962317618,13,13,14
131,Chad,2009,9253486068,7,9,5
132,Thailand,2009,263711244888,12,12,13
133,Tajikistan,2008,5161336170,11,12,10
134,Tonga,2004,240794581,14,14,14
135,Trinidad and Tobago,2005,16088526685,11,11,12
136,Tunisia,2008,44856586316,15,14,15
137,Turkey,2008,730337495735,12,12,11
138,Tuvalu,2001,13196254,11,10,11
139,Uganda,2008,14239027457,10,11,10
140,Ukraine,2008,179992405832,15,14,15
141,Uruguay,2008,30366148181,16,14,17
142,Uzbekistan,2009,32816828372,11,12,11
143,Vanuatu,2004,364996869,10,11,10
144,Samoa,2001,273088357,12,12,12
145,Zambia,2000,3600631918,7,8,7
146,Zimbabwe,2003,5727591800,9,9,9
